lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_flat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_flat
0.005,ok,4,0.00931251,0.03725004,0.009374989,0.037499956,0.00931251,26.3267,0.0,0,0.0,0,0.0,
0.01,UNSTBL,4,0.017500011,0.070000044,0.017500011,0.070000044,0.017500011,25.2857,0.0,0,0.0,0,0.0,
0.02,UNSTBL,4,0.036499990999999996,0.14599996399999998,0.035749985,0.14299994,0.036499990999999996,24.8904,0.0,0,0.0,0,0.0,
0.04,UNSTBL,4,0.07974995,0.3189998,0.08075013,0.32300052,0.07974995,33.6458,0.0,0,0.0,0,0.0,
0.08,UNSTBL,4,0.10762513,0.43050052,0.11149986,0.44599944,0.10762513,66.669,0.0,0,0.0,0,0.0,
0.12,UNSTBL,4,0.10899984000000001,0.43599936000000006,0.11750008,0.47000032,0.10899984000000001,69.1927,0.0,0,0.0,0,0.0,
0.2,UNSTBL,4,0.10949993000000001,0.43799972000000004,0.11849983,0.47399932,0.10949993000000001,69.379,0.0,0,0.0,0,0.0,
0.3,UNSTBL,4,0.10949993000000001,0.43799972000000004,0.11774991,0.47099964,0.10949993000000001,69.968,0.0,0,0.0,0,0.0,
0.5,UNSTBL,4,0.11000002,0.44000008,0.11849983,0.47399932,0.11000002,70.1727,0.0,0,0.0,0,0.0,
