mix,vc_buf_size,data_flits,lambda,state,dat_class,req_sn_class,sn_dat_peak,sn_dat_avg,e2e_dat_util,sn_req_peak,sn_req_avg,dat_metric,req_metric,stats_file
write,4,2,0.026,UNSTBL,5,4,0.813,0.79975,0.7997483999999999,0.579,0.55975,write_dat_acc_max,write_req_acc_max,
write,4,2,0.028,UNSTBL,5,4,0.842,0.81575,0.8157487,0.597,0.5807499999999999,write_dat_acc_max,write_req_acc_max,
write,4,2,0.03,UNSTBL,5,4,0.836,0.8165,0.8165011999999999,0.632,0.6034999999999999,write_dat_acc_max,write_req_acc_max,
write,4,2,0.031,UNSTBL,5,4,0.858,0.8242499999999999,0.8242498,0.634,0.6175,write_dat_acc_max,write_req_acc_max,
write,4,2,0.032,UNSTBL,5,4,0.846,0.8047500000000001,0.8047492999999999,0.656,0.634,write_dat_acc_max,write_req_acc_max,
write,4,2,0.033,UNSTBL,5,4,0.854,0.8255,0.8255011000000001,0.653,0.64,write_dat_acc_max,write_req_acc_max,
write,4,2,0.034,UNSTBL,5,4,0.845,0.82175,0.8217515,0.673,0.65425,write_dat_acc_max,write_req_acc_max,
write,4,2,0.035,UNSTBL,5,4,0.84,0.82,0.8200014000000001,0.676,0.662,write_dat_acc_max,write_req_acc_max,
write,4,2,0.036,UNSTBL,5,4,0.857,0.8332499999999999,0.8332497,0.69,0.6747500000000001,write_dat_acc_max,write_req_acc_max,
write,4,2,0.037,UNSTBL,5,4,0.857,0.8212499999999999,0.8212484,0.717,0.6952499999999999,write_dat_acc_max,write_req_acc_max,
write,4,2,0.038,UNSTBL,5,4,0.847,0.8187500000000001,0.8187501,0.727,0.6974999999999999,write_dat_acc_max,write_req_acc_max,
write,4,2,0.039,UNSTBL,5,4,0.838,0.82075,0.8207496,0.719,0.67975,write_dat_acc_max,write_req_acc_max,
write,4,2,0.04,UNSTBL,5,4,0.875,0.84125,0.8412520000000001,0.74,0.71225,write_dat_acc_max,write_req_acc_max,zcn_lp/write_buf4_D2_lam0p04_sn_local_stats.m
write,4,2,0.041,UNSTBL,5,4,0.845,0.8232499999999999,0.8232479,0.726,0.70125,write_dat_acc_max,write_req_acc_max,
write,4,2,0.042,UNSTBL,5,4,0.844,0.821,0.8209989999999999,0.714,0.699,write_dat_acc_max,write_req_acc_max,
write,4,2,0.043,UNSTBL,5,4,0.8465,0.82275,0.8227491,0.711,0.706,write_dat_acc_max,write_req_acc_max,
