lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_flat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_flat
0.005,UNSTBL,4,0.0,0,0.0,0,0.0,,0.13724998,0.54899992,0.13849999,0.55399996,0.13724998,246.38800000000003
0.01,UNSTBL,4,0.0,0,0.0,0,0.0,,0.16062521,0.64250084,0.20124989,0.80499956,0.16062521,144.534
0.02,UNSTBL,4,0.0,0,0.0,0,0.0,,0.17074999000000002,0.6829999600000001,0.27300012,1.09200048,0.17074999000000002,109.201
0.04,UNSTBL,4,0.0,0,0.0,0,0.0,,0.18599994,0.74399976,0.28575005000000003,1.1430002000000001,0.18599994,102.648
0.08,UNSTBL,4,0.0,0,0.0,0,0.0,,0.19700020000000001,0.7880008000000001,0.30350002,1.21400008,0.19700020000000001,97.8503
0.12,UNSTBL,4,0.0,0,0.0,0,0.0,,0.19775012,0.79100048,0.30325019,1.21300076,0.19775012,96.5828
0.2,UNSTBL,4,0.0,0,0.0,0,0.0,,0.19850004000000002,0.7940001600000001,0.30725005,1.2290002,0.19850004000000002,94.8312
0.3,UNSTBL,4,0.0,0,0.0,0,0.0,,0.19850004000000002,0.7940001600000001,0.30400011,1.21600044,0.19850004000000002,96.5856
0.5,UNSTBL,4,0.0,0,0.0,0,0.0,,0.19850004000000002,0.7940001600000001,0.30049991,1.20199964,0.19850004000000002,96.6826
