vc_buf_size,read_per_sn,read_total,read_util,read_lambda,read_state,read_flat,write_per_sn,write_total,write_util,write_lambda,write_state,write_flat
2,0.33399992,1.33599968,0.33399992,0.8,UNSTBL,42.7635,0.5277518999999999,2.1110075999999998,0.5277518999999999,0.03,UNSTBL,173.889
4,0.6157514000000001,2.4630056000000002,0.6157514000000001,0.5,UNSTBL,43.4405,0.8850002,3.5400008,0.8850002,0.05,UNSTBL,201.035
8,0.694751,2.779004,0.694751,0.5,UNSTBL,56.3084,0.9075021,3.6300084,0.9075021,0.08,UNSTBL,274.189
16,0.7022501999999999,2.8090007999999997,0.7022501999999999,0.8,UNSTBL,76.7857,0.908375,3.6335,0.908375,0.05,UNSTBL,279.444
32,0.6942479,2.7769916,0.6942479,0.8,UNSTBL,114.076,0.9124987,3.6499948,0.9124987,0.05,UNSTBL,309.984
