lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_flat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_flat
0.001,ok,4,0.00388235218,0.01552940872,0.00388235218,0.01552940872,0.00388235218,29.689422460422435,0.0009999985399999998,0.003999994159999999,0.0009999985399999998,0.003999994159999999,0.0009999985399999998,29.470608892068984
0.002,ok,4,0.0084117632,0.0336470528,0.0084117632,0.0336470528,0.0084117632,29.620648754692716,0.00164705738,0.00658822952,0.00164705738,0.00658822952,0.00164705738,31.205362101062924
0.003,ok,4,0.012823507300000002,0.05129402920000001,0.012823507300000002,0.05129402920000001,0.012823507300000002,30.45346922897139,0.0024411770800000002,0.009764708320000001,0.0024411770800000002,0.009764708320000001,0.0024411770800000002,29.915632451882598
0.004,ok,4,0.018147066400000002,0.07258826560000001,0.018147066400000002,0.07258826560000001,0.018147066400000002,29.8401900521012,0.00302941192,0.01211764768,0.00302941192,0.01211764768,0.00302941192,32.00968252654594
0.005,ok,4,0.022794115100000005,0.09117646040000002,0.022764703100000002,0.09105881240000001,0.022794115100000005,29.896195216090224,0.0037352939,0.0149411756,0.0037794118999999993,0.015117647599999997,0.0037352939,31.58796120680624
0.006,ok,4,0.0281176441,0.1124705764,0.028058820100000003,0.11223528040000001,0.0281176441,30.16385804602456,0.0042941176,0.0171764704,0.0043382355999999995,0.017352942399999998,0.0042941176,31.780778699360724
0.008,ok,4,0.0357353005,0.142941202,0.0357647125,0.14305885,0.0357353005,30.1157403539002,0.005911764700000001,0.023647058800000002,0.0059558827,0.0238235308,0.005911764700000001,31.147554327483636
0.01,ok,4,0.0457647022,0.1830588088,0.0458529382,0.1834117528,0.0457647022,31.437330972002698,0.0067058887,0.0268235548,0.0067205947,0.0268823788,0.0067058887,31.776648037876022
