vc_buf_size,read_per_sn,read_total,read_util,read_lambda,read_state,read_flat,write_per_sn,write_total,write_util,write_lambda,write_state,write_flat
2,0.35850002999999997,1.4340001199999999,0.35850002999999997,0.8,UNSTBL,41.0635,0.5379988,2.1519952,0.5379988,0.05,UNSTBL,183.807
4,0.5447498000000001,2.1789992000000002,0.5447498000000001,0.8,UNSTBL,46.3341,0.7845006,3.1380024,0.7845006,0.12,UNSTBL,245.778
8,0.5572499,2.2289996,0.5572499,0.8,UNSTBL,66.7519,0.8087483000000001,3.2349932000000003,0.8087483000000001,0.08,UNSTBL,377.328
16,0.5640008999999999,2.2560035999999997,0.5640008999999999,0.8,UNSTBL,96.0022,0.7961235,3.184494,0.7961235,0.12,UNSTBL,377.717
32,0.5745015,2.298006,0.5745015,0.8,UNSTBL,132.145,0.8029992,3.2119968,0.8029992,0.12,UNSTBL,424.128
