lambda,channel,state,inj_flit,acc_flit,inj_pkt,acc_pkt,accept_ratio,packet_latency,flit_latency,hops
0.001,REQ,ok,0.0005543775170000002,0.0005543775170000002,0.0005543775170000002,0.0005543775170000002,1.0,33.606364947211574,33.605159002927216,6.302160315094449
0.001,RSP,ok,0.00077154611,0.0007715460000000001,0.00077154611,0.0007715460000000001,0.9999998574291303,34.29243635247281,34.30270714014069,6.419098360368273
0.001,SNP,ok,8.3447242e-05,8.3789242e-05,8.3447242e-05,8.3789242e-05,1.0040983978835394,33.527230805883164,33.5347001896019,6.300542483788073
0.001,DAT,ok,0.0007496579749999999,0.0007517099750000002,0.00037482902200000005,0.00037585502200000005,1.002737248276456,35.567129080321294,34.54096359621407,6.396207034652691
0.0015,REQ,ok,0.0008341309700000003,0.0008334469700000003,0.0008341309700000003,0.0008334469700000003,0.9991799848889437,33.79818052131377,33.790331532572466,6.325845889413453
0.0015,RSP,ok,0.0011641581969999994,0.001163474296999999,0.0011641581969999994,0.001163474296999999,0.9994125368856546,34.4967708010081,34.50497536271403,6.430842019049785
0.0015,SNP,ok,0.00012243509699999997,0.000123119097,0.00012243509699999997,0.000123119097,1.0055866333817667,33.94140249994686,33.95277778163854,6.381000002843589
0.0015,DAT,ok,0.0011299591599999998,0.00113474706,0.0005649791589999999,0.0005677151489999999,1.0042372327863602,36.1721430462621,35.157768564641174,6.4167555958536715
0.002,REQ,ok,0.0011111492899999996,0.0011108072899999998,0.0011111492899999996,0.0011108072899999998,0.9996922105759526,33.93412834309093,33.946319326438726,6.332355031300524
0.002,RSP,ok,0.0015509581249999998,0.0015516420250000001,0.0015509581249999998,0.0015516420250000001,1.0004409532333443,34.79902456520217,34.815731085187004,6.447569390904322
0.002,SNP,ok,0.000162448715,0.00016279061500000001,0.000162448715,0.00016279061500000001,1.0021046642320317,33.82034964943157,33.83088850690809,6.356054092137927
0.002,DAT,ok,0.0015075248650000003,0.0015095768650000001,0.0007537620420000002,0.0007547880420000001,1.0013611715784203,36.78782845475975,35.6854320556456,6.424345052068016
0.0025,REQ,ok,0.0013919282199999995,0.0013909021199999996,0.0013919282199999995,0.0013909021199999996,0.9992628211819716,34.078252689655855,34.08976580980266,6.343441669264262
0.0025,RSP,ok,0.0019343358200000001,0.0019346777199999996,0.0019343358200000001,0.0019346777199999996,1.000176753176188,35.24985913000901,35.251071002912056,6.473096625462923
0.0025,SNP,ok,0.00020109441999999994,0.00020143641999999996,0.00020109441999999994,0.00020143641999999996,1.0017006936343635,33.907865340766094,33.94990847661014,6.3727288255237085
0.0025,DAT,ok,0.0019015040850000001,0.001903898085,0.0009507519070000001,0.0009521199070000001,1.001259003343135,37.37666314978643,36.23360972271633,6.422420241995884
0.003,REQ,ok,0.00165834471,0.0016566348100000002,0.00165834471,0.0016566348100000002,0.9989689115961905,34.220721039574194,34.22372952148578,6.345378318193734
0.003,RSP,ok,0.002323871319999999,0.0023228452199999996,0.002323871319999999,0.0023228452199999996,0.9995584523156817,35.858322449418736,35.84971136218538,6.49011752642757
0.003,SNP,ok,0.00024247626000000003,0.00024316016000000003,0.00024247626000000003,0.00024316016000000003,1.0028204823020612,34.16360892097209,34.19494378910592,6.420859844446968
0.003,DAT,ok,0.0022790698549999995,0.002281121655,0.0011395350669999996,0.0011405610569999998,1.0009002795572497,38.475270554196236,37.30593578007308,6.4561205469588145
0.0035,REQ,ok,0.0019278388199999996,0.0019271548200000001,0.0019278388199999996,0.0019271548200000001,0.9996451985545143,34.419523468243725,34.427230908987895,6.3491811834599785
0.0035,RSP,ok,0.002686046609999999,0.002685020609999999,0.002686046609999999,0.002685020609999999,0.9996180259880152,36.558826255914674,36.545521220921295,6.493389346361818
0.0035,SNP,ok,0.00027975372999999995,0.00028009572999999996,0.00027975372999999995,0.00028009572999999996,1.0012225038071878,34.09734543585866,34.12649308220443,6.406278155435645
0.0035,DAT,ok,0.0026822841949999997,0.002682627195,0.0013413134969999998,0.001341313497,1.000127876084361,39.766067027325235,38.56760511457724,6.453155633832118
0.004,REQ,ok,0.00220690896,0.0022058829600000002,0.00220690896,0.0022058829600000002,0.9995350963639208,34.69543731114772,34.70285310512531,6.35905224909095
0.004,RSP,ok,0.0030725052200000005,0.0030718212300000006,0.0030725052200000005,0.0030718212300000006,0.9997773836166176,38.23096827498096,38.207872746466094,6.500413115892098
0.004,SNP,ok,0.00032045137,0.00032045138,0.00032045137,0.00032045138,1.0000000312059831,34.51366755048144,34.55744299791437,6.48631882450904
0.004,DAT,ok,0.00301162493,0.0030116329299999995,0.0015058148749999998,0.0015058148549999997,1.000002656373282,41.76842886375829,40.557654176167496,6.425427910022222
0.0045,REQ,ok,0.0024897408999999997,0.0024893988999999993,0.0024897408999999997,0.0024893988999999993,0.9998626363088623,35.320219652862406,35.32869368136139,6.401448853062201
0.0045,RSP,ok,0.0034736662499999993,0.00347400825,0.0034736662499999993,0.00347400825,1.0000984550545122,42.51451954214617,42.54661582081591,6.468454098560072
0.0045,SNP,ok,0.00035670318,0.00035704517999999994,0.00035670318,0.00035704517999999994,1.0009587803506546,34.958785998536655,34.99324972475193,6.57528359047026
0.0045,DAT,ok,0.0033659343500000004,0.0033601243500000003,0.001682968395,0.0016798904949999998,0.9982738819608885,46.674444536640486,45.92556950732077,6.39884255661699
0.005,REQ,UNSTBL,0.0026511628,0.002622091700000001,0.0026511628,0.002622091700000001,0.9890345851261948,35.654091445302974,35.65187237359774,
0.005,RSP,UNSTBL,0.00406976625,0.0036569768999999996,0.00406976625,0.0036569768999999996,0.8985717300102923,109.87915378597826,109.68519022402631,
0.005,SNP,UNSTBL,0.00042441840000000006,0.00041279045,0.00042441840000000006,0.00041279045,0.9726026251453753,32.76055933980547,32.76055933980547,
0.005,DAT,UNSTBL,0.0034127931,0.0034186012000000008,0.0017093023500000001,0.0017093021500000005,1.0017018611529662,46.687055676458364,45.35545260806963,
0.0055,REQ,UNSTBL,0.0029883718499999997,0.00302907005,0.0029883718499999997,0.00302907005,1.0136188540258135,36.393481884960046,36.393481884960046,
0.0055,RSP,UNSTBL,0.00408720945,0.00376162795,0.00408720945,0.00376162795,0.9203413712991881,131.44674477438153,130.44521361236164,
0.0055,SNP,UNSTBL,0.00045930215,0.00045348815000000004,0.00045930215,0.00045348815000000004,0.9873416660470673,31.205111091370302,31.205111091370302,
0.0055,DAT,UNSTBL,0.0040406976,0.003790696,0.0020232551,0.0018953478,0.9381290992921617,179.63789846919917,170.77143390418541,
