channel,subnet,classes,active_classes,offered_flit_rate,injected_flit_rate,accepted_flit_rate,acceptance_ratio,packet_latency,flit_latency,hops
REQ,0,34,32,0.00112639,0.0005639538900000001,0.0005647842900000001,1.0014724608070351,34.30816559388542,34.271366577604354,6.435570421465335
RSP,1,60,56,0.0017278900000000004,0.0007882062499999997,0.0007882056399999999,0.999999226090887,33.599744360963975,33.600254724761925,6.281367942071312
SNP,2,14,12,0.00016624999999999998,8.637877499999999e-05,8.7209275e-05,1.0096146304459632,31.99590768057641,32.006057994290174,5.989568291967798
DAT,3,21,19,0.0017605199999999996,0.0007267441799999999,0.00073255828,1.0080002016665617,35.37344861068565,34.441598769292455,6.354793996909569
