lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_flat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_flat
0.001,ok,4,0.00020588249499999998,0.0008235299799999999,0.00020588249499999998,0.0008235299799999999,0.00020588249499999998,35.285714285714285,0.00102941054,0.00411764216,0.00102941054,0.00411764216,0.00102941054,34.599951599137505
0.002,ok,4,0.000499999915,0.00199999966,0.000499999915,0.00199999966,0.000499999915,40.29414085606995,0.00164705738,0.00658822952,0.00164705738,0.00658822952,0.00164705738,36.15177506327071
0.004,ok,4,0.00070588198,0.00282352792,0.00070588198,0.00282352792,0.00070588198,36.20833830819708,0.0031176474899999996,0.012470589959999999,0.0031176474899999996,0.012470589959999999,0.0031176474899999996,36.36321322427091
0.006,ok,4,0.0009117651199999999,0.0036470604799999995,0.0009117651199999999,0.0036470604799999995,0.0009117651199999999,33.88710060781443,0.004529413600000001,0.018117654400000002,0.0045735316,0.0182941264,0.004529413600000001,36.82193621790246
0.008,ok,4,0.00120588426,0.00482353704,0.00120588426,0.00482353704,0.00120588426,33.987813604958234,0.0057647047,0.0230588188,0.0057941167,0.0231764668,0.0057647047,35.80085608098885
0.01,ok,4,0.00185294267,0.00741177068,0.00185294267,0.00741177068,0.00185294267,37.19048174810503,0.0069117684000000006,0.027647073600000002,0.006941180399999999,0.027764721599999997,0.0069117684000000006,35.654510751355616
0.015,ok,4,0.0029705883499999996,0.011882353399999998,0.0029705883499999996,0.011882353399999998,0.0029705883499999996,34.19482287494328,0.010911757400000001,0.043647029600000005,0.010955875399999999,0.043823501599999995,0.010911757400000001,36.559136344556194
0.02,ok,4,0.00414705932,0.01658823728,0.00414705932,0.01658823728,0.00414705932,37.35400269532629,0.013411773100000001,0.053647092400000006,0.0133970671,0.0535882684,0.013411773100000001,36.36950032718642
0.03,ok,4,0.00617646539,0.02470586156,0.00617646539,0.02470586156,0.00617646539,39.26190627403208,0.0221176391,0.0884705564,0.022058815100000004,0.08823526040000002,0.0221176391,38.889257890846494
